https://www.linkedin.com/company/capital-float,Capital Float,"Working Capital Finance, Small Business Lending, Digital Finance, Fin-Tech, ecommerce loans",Financial Services,http://www.capitalfloat.com,"Gokaldas Chambers, 3rd Floor, 5th Main, Bellary Road, Sadashivnagar, Bangalore, Karnataka 560080 India",201-500,"Capital Float is a digital finance company serving businesses in India. 

We provide fast, flexible and transparent working capital finance to businesses looking to grow their customer base, purchase inventory, or manage cash flows. Borrowers can apply online in minutes, and receive funds within 3 days.

Our innovative lending products are ideal for young, rapidly growing companies that have successfully initiated business relationships with reputed corporate clients or are increasing their sales rapidly on any of the online marketplaces. Sign up at www.capitalfloat.com to learn more and join our platform.

Get in touch with us today we look forward to serving your financial requirements for your business.",2013,"{'Lendingkart': 'https://www.linkedin.com/company/lendingkart', 'Faircent.com': 'https://www.linkedin.com/company/faircent', 'IndiaLends': 'https://www.linkedin.com/company/indialends', 'NeoGrowth Credit Pvt. Ltd. - SME business loans': 'https://www.linkedin.com/company/neogrowth-credit-pvt-ltd', 'Finomena': 'https://www.linkedin.com/company/finomena', 'KredX': 'https://www.linkedin.com/company/kredx-india'}"
https://www.linkedin.com/company/carwow,carwow,"New Cars, Car Reviews, Car Chooser, Car Buying",Information Technology and Services,http://www.carwow.co.uk,"6th Floor, New Penderel House 283-288 High Holborn London, London WC1V 7HP United Kingdom",51-200,"carwow is the most convenient, stress-free way to find and buy a new car, at a price you can be confident in.

carwow aims to solve the major pain points that buyers and dealers experience in the buying process, putting them in a more powerful position than ever before. Offering buyers crucial price confidence, a more convenient hassle free way to find and buy the car they want, and an altogether better buying experience.

And it's great news for dealers too. Through carwow, our dealer partners sell more cars than they could in the showroom alone, while reducing cost inefficiencies and increasing stock turnover. This means they can pass on great prices to carwow buyers.

We’re a driven, energetic startup with a team of 140+ based in central London and Munich. We are backed by Europe’s leading VCs including: 

- Balderton Capital (Betfair, LOVEFiLM, Citymapper, MySQL)
- Accel (Facebook, Spotify, Dropbox, Groupon)
- Vitruvian Partners (JustEat, Skyscanner, Trustpilot)
- Episode 1 (Zoopla, Shazam, LOVEFiLM)
- Samos (Ocado, Betfair, PKR)

We’ve raised over £48m in funding since we launched, so we’re growing fast.

We’re relentlessly driven and constantly asking ourselves how we can make carwow better. If you’re proactive, motivated, and want to help us change the future of car buying, get in touch. It’s the chance to be at the start of something huge. 

Roles we're hiring for - https://www.carwow.co.uk/jobs",2013,"{'carwow GmbH': 'https://www.linkedin.com/company/carwow-gmbh', 'Deliveroo': 'https://www.linkedin.com/company/deliveroo', 'Appear Here': 'https://www.linkedin.com/company/appear-here', 'Onfido': 'https://www.linkedin.com/company/onfido', 'GoCardless': 'https://www.linkedin.com/company/gocardless', 'CARWOW LTD': 'https://www.linkedin.com/company/carwow-ltd'}"
https://www.linkedin.com/company/stashinvest,Stash Invest,"Investing, Financial Technology, Personal Finance",Financial Services,http://www.stashinvest.com,"19 West 22nd Street New York, NY 10010 United States",51-200,"Stash is investing, simplified. We are an investing platform that makes it easy for anyone to start with as little as $5. We provide guidance and help investors learn the basics, so they can do it themselves. 

We do not adopt, endorse, or guarantee the accuracy of content posted by others, and such content does not represent our views.

Getting started on Stash is simple. Investors sign up on an app, choose from a selection of curated investments, and make an initial investment. Investors can then make additional investments whenever they like or make automatic recurring investments by setting up Auto-Stash.  The Stash virtual advisor helps guide investors throughout the process with advice and support. Stash encourages investors to build good financial habits for life. Unlike purely automated alternatives, Stash empowers investors to think about their views, share ideas with friends, and build their own portfolios.",2015,"{'Acorns': 'https://www.linkedin.com/company/acorns-grow-inc-', 'Stash': 'https://www.linkedin.com/company/stash', 'Cadre': 'https://www.linkedin.com/company/cadre-technologies-inc', 'Robinhood': 'https://www.linkedin.com/company/robinhood', 'Betterment': 'https://www.linkedin.com/company/betterment', 'Wealthfront Inc.': 'https://www.linkedin.com/company/wealthfront-inc-'}"
https://www.linkedin.com/company/move-guides,MOVE Guides,"International Relocation, Global Mobility, Employee Relocation, Moving Abroad, Human Resources Management, Corporate Relocation",Human Resources,http://www.moveguides.com,"6 Ramillies Street London, W1F 7TY United Kingdom",51-200,"MOVE Guides helps HR teams move their employees around the world for any reason, any location and any period of time. MOVE Guides partners with leading multinational companies to deliver a full global mobility program across 200 countries with their Talent Mobility Cloud platform, concierge-level support for employees and a global supply chain of partners.

MOVE Guides has offices in the Americas, EMEA and APAC, and is backed by New Enterprise Associates and Notion Capital. For more information go to: http://www.moveguides.com and follow MOVE Guides on Twitter, Facebook and LinkedIn.",2011,"{'Workable': 'https://www.linkedin.com/company/workable-hr', 'Santa Fe Relocation': 'https://www.linkedin.com/company/santa-fe-relocation-services', 'Globoforce': 'https://www.linkedin.com/company/globoforce', 'SIRVA Worldwide Relocation & Moving': 'https://www.linkedin.com/company/sirva-worldwide', 'Cartus': 'https://www.linkedin.com/company/cartus', 'BGRS': 'https://www.linkedin.com/company/bgrs'}"
https://www.linkedin.com/company/cohesity,Cohesity,"Storage, Backup, Recovery, Analytics, Test & Dev, Distributed Systems, Data Protection, startups",Computer Software,http://www.cohesity.com,"451 El Camino Real Santa Clara, California 95050 United States",201-500,"Cohesity is a startup based in Santa Clara, founded in 2013 by Mohit Aron, who also happens to be the co-founder and former CTO of Nutanix. Mohit Aron has embedded the spirit of distributed architectures and hyper-converged technologies into Cohesity’s DNA- the result is a distributed scale-out hyper-converged platform that focuses on secondary storage needs.  

Cohesity’s mission is to eliminate secondary storage silos and provide an all-encompassing single solution. Secondary storage is a market with a much larger need for capacity than primary storage. In fact, up to 80% of all the data generated in the world qualifies for secondary storage and so far there is no established leader in the secondary storage market, which is a massive opportunity for Cohesity!    

Check out this article that simply explains Cohesity: http://bit.ly/2vQp449

For more information, visit www.cohesity.com and follow @cohesity on Twitter.",2013,"{'Rubrik, Inc.': 'https://www.linkedin.com/company/rubrik-inc', 'Nutanix': 'https://www.linkedin.com/company/nutanix', 'Hedvig Inc.': 'https://www.linkedin.com/company/hedvig-inc', 'Datrium': 'https://www.linkedin.com/company/datrium', 'Pure Storage': 'https://www.linkedin.com/company/pure-storage', 'Springpath': 'https://www.linkedin.com/company/springpath'}"
https://www.linkedin.com/company/capital-float,Capital Float,"Working Capital Finance, Small Business Lending, Digital Finance, Fin-Tech, ecommerce loans",Financial Services,http://www.capitalfloat.com,"Gokaldas Chambers, 3rd Floor, 5th Main, Bellary Road, Sadashivnagar, Bangalore, Karnataka 560080 India",201-500,"Capital Float is a digital finance company serving businesses in India. 

We provide fast, flexible and transparent working capital finance to businesses looking to grow their customer base, purchase inventory, or manage cash flows. Borrowers can apply online in minutes, and receive funds within 3 days.

Our innovative lending products are ideal for young, rapidly growing companies that have successfully initiated business relationships with reputed corporate clients or are increasing their sales rapidly on any of the online marketplaces. Sign up at www.capitalfloat.com to learn more and join our platform.

Get in touch with us today we look forward to serving your financial requirements for your business.",2013,"{'Lendingkart': 'https://www.linkedin.com/company/lendingkart', 'Faircent.com': 'https://www.linkedin.com/company/faircent', 'IndiaLends': 'https://www.linkedin.com/company/indialends', 'NeoGrowth Credit Pvt. Ltd. - SME business loans': 'https://www.linkedin.com/company/neogrowth-credit-pvt-ltd', 'Finomena': 'https://www.linkedin.com/company/finomena', 'KredX': 'https://www.linkedin.com/company/kredx-india'}"
https://www.linkedin.com/company/capital-float,Capital Float,"Working Capital Finance, Small Business Lending, Digital Finance, Fin-Tech, ecommerce loans",Financial Services,http://www.capitalfloat.com,"Gokaldas Chambers, 3rd Floor, 5th Main, Bellary Road, Sadashivnagar, Bangalore, Karnataka 560080 India",201-500,"Capital Float is a digital finance company serving businesses in India. 

We provide fast, flexible and transparent working capital finance to businesses looking to grow their customer base, purchase inventory, or manage cash flows. Borrowers can apply online in minutes, and receive funds within 3 days.

Our innovative lending products are ideal for young, rapidly growing companies that have successfully initiated business relationships with reputed corporate clients or are increasing their sales rapidly on any of the online marketplaces. Sign up at www.capitalfloat.com to learn more and join our platform.

Get in touch with us today we look forward to serving your financial requirements for your business.",2013,"{'Lendingkart': 'https://www.linkedin.com/company/lendingkart', 'Faircent.com': 'https://www.linkedin.com/company/faircent', 'IndiaLends': 'https://www.linkedin.com/company/indialends', 'NeoGrowth Credit Pvt. Ltd. - SME business loans': 'https://www.linkedin.com/company/neogrowth-credit-pvt-ltd', 'Finomena': 'https://www.linkedin.com/company/finomena', 'KredX': 'https://www.linkedin.com/company/kredx-india'}"
https://www.linkedin.com/company/carwow,carwow,"New Cars, Car Reviews, Car Chooser, Car Buying",Information Technology and Services,http://www.carwow.co.uk,"6th Floor, New Penderel House 283-288 High Holborn London, London WC1V 7HP United Kingdom",51-200,"carwow is the most convenient, stress-free way to find and buy a new car, at a price you can be confident in.

carwow aims to solve the major pain points that buyers and dealers experience in the buying process, putting them in a more powerful position than ever before. Offering buyers crucial price confidence, a more convenient hassle free way to find and buy the car they want, and an altogether better buying experience.

And it's great news for dealers too. Through carwow, our dealer partners sell more cars than they could in the showroom alone, while reducing cost inefficiencies and increasing stock turnover. This means they can pass on great prices to carwow buyers.

We’re a driven, energetic startup with a team of 140+ based in central London and Munich. We are backed by Europe’s leading VCs including: 

- Balderton Capital (Betfair, LOVEFiLM, Citymapper, MySQL)
- Accel (Facebook, Spotify, Dropbox, Groupon)
- Vitruvian Partners (JustEat, Skyscanner, Trustpilot)
- Episode 1 (Zoopla, Shazam, LOVEFiLM)
- Samos (Ocado, Betfair, PKR)

We’ve raised over £48m in funding since we launched, so we’re growing fast.

We’re relentlessly driven and constantly asking ourselves how we can make carwow better. If you’re proactive, motivated, and want to help us change the future of car buying, get in touch. It’s the chance to be at the start of something huge. 

Roles we're hiring for - https://www.carwow.co.uk/jobs",2013,"{'carwow GmbH': 'https://www.linkedin.com/company/carwow-gmbh', 'Deliveroo': 'https://www.linkedin.com/company/deliveroo', 'Appear Here': 'https://www.linkedin.com/company/appear-here', 'Onfido': 'https://www.linkedin.com/company/onfido', 'GoCardless': 'https://www.linkedin.com/company/gocardless', 'CARWOW LTD': 'https://www.linkedin.com/company/carwow-ltd'}"
https://www.linkedin.com/company/stashinvest,Stash Invest,"Investing, Financial Technology, Personal Finance",Financial Services,http://www.stashinvest.com,"19 West 22nd Street New York, NY 10010 United States",51-200,"Stash is investing, simplified. We are an investing platform that makes it easy for anyone to start with as little as $5. We provide guidance and help investors learn the basics, so they can do it themselves. 

We do not adopt, endorse, or guarantee the accuracy of content posted by others, and such content does not represent our views.

Getting started on Stash is simple. Investors sign up on an app, choose from a selection of curated investments, and make an initial investment. Investors can then make additional investments whenever they like or make automatic recurring investments by setting up Auto-Stash.  The Stash virtual advisor helps guide investors throughout the process with advice and support. Stash encourages investors to build good financial habits for life. Unlike purely automated alternatives, Stash empowers investors to think about their views, share ideas with friends, and build their own portfolios.",2015,"{'Acorns': 'https://www.linkedin.com/company/acorns-grow-inc-', 'Stash': 'https://www.linkedin.com/company/stash', 'Cadre': 'https://www.linkedin.com/company/cadre-technologies-inc', 'Robinhood': 'https://www.linkedin.com/company/robinhood', 'Betterment': 'https://www.linkedin.com/company/betterment', 'Wealthfront Inc.': 'https://www.linkedin.com/company/wealthfront-inc-'}"
https://www.linkedin.com/company/move-guides,MOVE Guides,"International Relocation, Global Mobility, Employee Relocation, Moving Abroad, Human Resources Management, Corporate Relocation",Human Resources,http://www.moveguides.com,"6 Ramillies Street London, W1F 7TY United Kingdom",51-200,"MOVE Guides helps HR teams move their employees around the world for any reason, any location and any period of time. MOVE Guides partners with leading multinational companies to deliver a full global mobility program across 200 countries with their Talent Mobility Cloud platform, concierge-level support for employees and a global supply chain of partners.

MOVE Guides has offices in the Americas, EMEA and APAC, and is backed by New Enterprise Associates and Notion Capital. For more information go to: http://www.moveguides.com and follow MOVE Guides on Twitter, Facebook and LinkedIn.",2011,"{'Workable': 'https://www.linkedin.com/company/workable-hr', 'Santa Fe Relocation': 'https://www.linkedin.com/company/santa-fe-relocation-services', 'Globoforce': 'https://www.linkedin.com/company/globoforce', 'SIRVA Worldwide Relocation & Moving': 'https://www.linkedin.com/company/sirva-worldwide', 'Cartus': 'https://www.linkedin.com/company/cartus', 'BGRS': 'https://www.linkedin.com/company/bgrs'}"
